 , RGB, RG, GB, R, G, B
Accuracy, 0.30444444444444446, 0.3111111111111111, 0.2911111111111111, 0.3088888888888889, 0.3088888888888889, 0.24666666666666667
Loss, 0.04796789805094401, 0.04793309874004788, 0.04832890404595269, 0.0489837286207411, 0.04784668551550971, 0.05263961739010281
