 , RGB, RG, GB, R, G, B
Accuracy, 0.35555555555555557, 0.3111111111111111, 0.03777777777777778, 0.022222222222222223, 0.022222222222222223, 0.02
Loss, 0.04115555551317003, 0.04793309874004788, 0.12017610867818197, 0.2144761085510254, 0.11517223676045736, 0.2186716906229655
